Price,Close,High,Low,Open,Volume
Ticker,2033.TW,2033.TW,2033.TW,2033.TW,2033.TW
Date,,,,,
2025-01-02,22.600000381469727,23.75,22.350000381469727,22.75,717091
2025-01-03,22.850000381469727,23.5,22.600000381469727,22.899999618530273,509000
2025-01-06,23.25,23.899999618530273,22.899999618530273,22.899999618530273,911000
2025-01-07,23.5,24.0,23.100000381469727,24.0,313603
2025-01-08,23.5,23.850000381469727,23.350000381469727,23.549999237060547,239000
2025-01-09,23.549999237060547,23.899999618530273,23.350000381469727,23.5,469540
2025-01-10,23.200000762939453,23.799999237060547,23.0,23.549999237060547,368000
2025-01-13,23.200000762939453,23.5,23.0,23.25,174110
2025-01-14,23.299999237060547,23.549999237060547,23.100000381469727,23.200000762939453,80000
2025-01-15,23.549999237060547,24.950000762939453,23.450000762939453,23.450000762939453,736000
2025-01-16,23.399999618530273,24.600000381469727,23.350000381469727,23.899999618530273,370000
2025-01-17,23.200000762939453,23.850000381469727,23.200000762939453,23.450000762939453,280028
2025-01-20,22.350000381469727,23.350000381469727,22.350000381469727,23.299999237060547,454015
2025-01-21,22.5,23.149999618530273,22.399999618530273,22.450000762939453,357612
2025-01-22,22.450000762939453,23.350000381469727,22.450000762939453,22.75,700000
2025-02-03,22.100000381469727,22.600000381469727,22.049999237060547,22.399999618530273,282600
2025-02-04,21.649999618530273,22.450000762939453,21.600000381469727,22.100000381469727,122000
2025-02-05,22.25,22.350000381469727,21.700000762939453,21.700000762939453,221001
2025-02-06,21.950000762939453,22.5,21.899999618530273,22.25,103042
2025-02-07,21.899999618530273,22.100000381469727,21.399999618530273,21.75,343002
2025-02-10,23.399999618530273,24.049999237060547,21.850000381469727,21.850000381469727,1781020
2025-02-11,22.350000381469727,23.350000381469727,22.25,23.25,602000
2025-02-12,22.350000381469727,22.600000381469727,22.049999237060547,22.350000381469727,151000
2025-02-13,23.0,23.700000762939453,22.399999618530273,22.399999618530273,1054350
2025-02-14,23.0,24.0,22.899999618530273,23.299999237060547,1145453
2025-02-17,23.200000762939453,23.5,22.700000762939453,23.0,311000
2025-02-18,22.75,23.399999618530273,22.75,23.350000381469727,155000
2025-02-19,22.850000381469727,23.100000381469727,22.75,22.899999618530273,173001
2025-02-20,23.100000381469727,23.5,23.100000381469727,23.100000381469727,290001
2025-02-21,23.350000381469727,23.5,23.0,23.049999237060547,189000
2025-02-24,23.200000762939453,23.25,23.0,23.200000762939453,137000
2025-02-25,23.200000762939453,23.450000762939453,22.950000762939453,23.149999618530273,241001
2025-02-26,23.200000762939453,23.600000381469727,23.149999618530273,23.399999618530273,238000
2025-02-27,23.100000381469727,23.549999237060547,23.0,23.399999618530273,250000
2025-03-03,22.799999237060547,23.0,22.649999618530273,23.0,174005
2025-03-04,22.799999237060547,22.799999237060547,22.200000762939453,22.799999237060547,165000
2025-03-05,23.25,23.350000381469727,22.649999618530273,22.850000381469727,185012
2025-03-06,23.049999237060547,23.25,22.899999618530273,23.25,104004
2025-03-07,22.899999618530273,23.049999237060547,22.600000381469727,23.0,264226
2025-03-10,23.0,23.5,22.799999237060547,23.100000381469727,656022
2025-03-11,23.149999618530273,23.649999618530273,22.200000762939453,23.149999618530273,893000
2025-03-12,23.399999618530273,23.75,22.899999618530273,23.200000762939453,1362000
2025-03-13,22.299999237060547,23.850000381469727,22.299999237060547,23.5,836000
2025-03-14,22.399999618530273,22.649999618530273,22.299999237060547,22.649999618530273,173102
2025-03-17,22.25,22.450000762939453,21.850000381469727,22.399999618530273,197000
2025-03-18,22.100000381469727,22.399999618530273,22.100000381469727,22.350000381469727,126000
2025-03-19,20.899999618530273,22.200000762939453,20.899999618530273,21.950000762939453,588076
2025-03-20,20.549999237060547,21.100000381469727,20.5,21.049999237060547,312151
2025-03-21,20.200000762939453,20.5,20.049999237060547,20.5,132000
2025-03-24,20.100000381469727,20.5,20.100000381469727,20.149999618530273,119998
2025-03-25,19.600000381469727,20.100000381469727,19.5,20.100000381469727,172000
2025-03-26,19.5,19.700000762939453,19.5,19.700000762939453,146000
2025-03-27,20.450000762939453,20.450000762939453,19.299999237060547,19.5,260064
2025-03-28,20.149999618530273,20.5,19.850000381469727,20.5,207000
